n  v(n)  Re(T)  Im(T)  Mod(T) 
490  124  27.71981  -57.87108  64.16736  
491  0  6.362503  83.84789  84.08894  
492  0  -56.263306  160.34778  169.93225  
493  0  -49.314766  9.01152  50.131363  
494  0  8.63575  -48.150307  48.91859  
495  0  -138.60025  -98.29178  169.91557  
496  125  -113.92503  -105.69164  155.40154  
497  122  -69.90481  -96.67072  119.29757  
498  135  -20.242958  -75.439926  78.10864  
499  129  42.337112  -65.06287  77.62479  
500  122  -44.101013  21.955032  49.26381  
501  0  24.170929  -109.18198  111.82548  
502  0  -3.2129517  -53.927345  54.022972  
503  0  -66.17837  47.306694  81.348015  
504  0  86.75768  -20.842789  89.22621  
505  0  22.327957  82.57394  85.53942  
506  127  66.827545  -159.52086  172.95325  
507  125  65.30777  246.11264  254.6302  
508  128  22.656433  -49.892494  54.795757  
509  108  -52.118633  -52.842613  74.22057  
510  127  -24.387314  136.7779  138.935  
511  0  194.27359  0.0786438  194.2736  
512  0  149.78693  132.51889  199.99345  
513  0  -54.716988  -179.5527  187.70488  
514  0  -1.6833191  181.97595  181.98373  
515  0  31.515358  -56.248802  64.47593  
516  128  75.425125  68.726585  102.04064  
517  129  -34.913937  39.157288  52.46214  
518  120  -68.97546  -42.585697  81.06266  
519  121  44.761726  -113.06714  121.60506  
520  128  161.63007  2.5259857  161.6498  
521  0  41.814674  -67.814064  79.6694  
522  0  83.606415  77.55963  114.04179  
523  0  -24.417141  28.120293  37.241745  
524  0  66.13759  57.248055  87.47297  
525  0  -122.9492  74.73572  143.88167  
526  128  -9.390305  14.365349  17.162199  
527  128  -23.531685  138.61198  140.59525  
528  124  -64.382835  -117.214584  133.7326  
529  122  31.533669  -9.204437  32.849564  
530  113  -46.801247  122.37738  131.0213  
531  0  -32.15503  -25.881157  41.276875  
532  0  -90.39938  -31.782509  95.82367  
533  0  -100.52884  61.272453  117.730034  
534  0  11.363628  -192.32738  192.6628  
535  0  76.00089  -27.705276  80.89325  
536  133  -96.3561  144.29553  173.50993  
537  132  110.728264  164.99536  198.70636  
538  141  171.69513  124.94589  212.34569  
539  129  39.562473  -32.387115  51.128414  
540  129  98.875565  88.46924  132.67699  
541  0  -58.280445  61.74366  84.90518  
542  0  29.259628  -82.74614  87.76702  
543  0  -15.773861  13.0877075  20.496408  
544  0  121.74158  -91.58142  152.34227  
545  0  111.53772  -102.669945  151.59743  
546  128  57.463802  53.27986  78.363464  
547  126  -66.94762  89.93251  112.115295  
548  126  29.976845  38.10343  48.481777  
549  133  109.11833  16.85318  110.41214  
550  117  8.537342  83.55349  83.988525  
551  0  111.8505  -37.201538  117.874886  
552  0  13.109425  -16.019814  20.700035  
553  0  20.082867  -59.599007  62.891678  
554  0  10.849548  90.22226  90.87227  
555  0  -76.11822  135.99  155.84372  
556  128  2.4171486  250.9317  250.94334  
557  123  89.35201  -4.3064423  89.45573  
558  135  -62.58372  -112.918755  129.10216  
559  127  -110.78123  -22.576027  113.058205  
560  128  10056.391  -7214.3374  12376.496  
561  0  -5.6473045  26.168633  26.771053  
562  0  25.42035  68.315834  72.89203  
563  0  -162.01913  -90.9131  185.78319  
564  0  -74.84976  -53.89261  92.23286  
565  0  -55.428074  22.155014  59.691845  
566  131  89.540565  145.53253  170.87196  
567  130  67.82477  -4.4744186  67.9722  
568  128  141.76907  24.245453  143.82738  
569  126  -73.86827  8.024483  74.30285  
570  126  -30.29806  -1.3618164  30.32865  
571  0  -59.67019  -53.770905  80.32336  
572  0  -103.094955  89.14157  136.28935  
573  0  -33.787495  -45.980858  57.059917  
574  0  89.48695  34.087654  95.75951  
575  0  33.34684  -113.72188  118.51025  
576  127  58.538483  -134.54674  146.72961  
577  130  11.411776  -155.27205  155.69084  
578  127  -24.146818  -32.099197  40.167492  
579  130  52.39791  -40.739212  66.371864  
580  128  76.09162  -31.090752  82.19836  
581  0  68.83466  37.130844  78.21068  
582  0  45.56922  27.994186  53.481106  
583  0  -90.78298  -1.5065918  90.79548  
