x-axis,1,2
second,Volt,Volt
-4.6300E+00,+435.9E-03,+155.2E-03
-4.6200E+00,+255.0E-03,+22.5E-03
-4.6100E+00,-26.4E-03,+20.5E-03
-4.6000E+00,+375.6E-03,+106.9E-03
-4.5900E+00,-267.6E-03,-19.7E-03
-4.5800E+00,-187.2E-03,+14.5E-03
-4.5700E+00,-46.5E-03,-172.4E-03
-4.5600E+00,-508.8E-03,+74.8E-03
-4.5500E+00,-468.6E-03,-371.4E-03
-4.5400E+00,-508.8E-03,-331.2E-03
-4.5300E+00,-287.7E-03,-512.1E-03
-4.5200E+00,-187.2E-03,-560.4E-03
-4.5100E+00,+114.3E-03,-451.8E-03
-4.5000E+00,-66.6E-03,-371.4E-03
-4.4900E+00,-167.1E-03,-303.1E-03
-4.4800E+00,+295.2E-03,-552.3E-03
-4.4700E+00,-126.9E-03,-250.8E-03
-4.4600E+00,-147.0E-03,-150.3E-03
-4.4500E+00,+355.5E-03,+72.8E-03
-4.4400E+00,+375.6E-03,-45.8E-03
-4.4300E+00,+355.5E-03,-138.3E-03
-4.4200E+00,+174.6E-03,-138.3E-03
-4.4100E+00,+54.0E-03,-200.6E-03
-4.4000E+00,+295.2E-03,+18.5E-03
-4.3900E+00,+33.9E-03,-65.9E-03
-4.3800E+00,+13.8E-03,+119.0E-03
-4.3700E+00,+154.5E-03,+86.8E-03
-4.3600E+00,+134.4E-03,-126.2E-03
-4.3500E+00,-46.5E-03,-112.1E-03
-4.3400E+00,-147.0E-03,+42.6E-03
-4.3300E+00,-247.5E-03,-281.0E-03
-4.3200E+00,-589.2E-03,-536.3E-03
-4.3100E+00,-147.0E-03,-333.3E-03
-4.3000E+00,-388.2E-03,-218.7E-03
-4.2900E+00,-408.3E-03,-104.1E-03
-4.2800E+00,-428.4E-03,-568.4E-03
-4.2700E+00,-106.8E-03,-379.5E-03
-4.2600E+00,-66.6E-03,-283.0E-03
-4.2500E+00,+74.1E-03,-333.3E-03
-4.2400E+00,+214.8E-03,-166.4E-03
-4.2300E+00,+234.9E-03,+46.6E-03
-4.2200E+00,-66.6E-03,-186.5E-03
-4.2100E+00,+114.3E-03,+2.4E-03
-4.2000E+00,+134.4E-03,+291.9E-03
-4.1900E+00,+94.2E-03,+183.3E-03
-4.1800E+00,-187.2E-03,+62.7E-03
-4.1700E+00,-66.6E-03,+281.8E-03
-4.1600E+00,-106.8E-03,+299.9E-03
-4.1500E+00,-287.7E-03,-176.5E-03
-4.1400E+00,-348.0E-03,+147.1E-03
-4.1300E+00,-207.3E-03,-132.2E-03
-4.1200E+00,-428.4E-03,-319.2E-03
-4.1100E+00,-307.8E-03,-365.4E-03
-4.1000E+00,-508.8E-03,-415.7E-03
-4.0900E+00,-147.0E-03,-13.7E-03
-4.0800E+00,-428.4E-03,-648.8E-03
-4.0700E+00,-448.5E-03,-476.0E-03
-4.0600E+00,-66.6E-03,-600.6E-03
-4.0500E+00,-287.7E-03,-590.5E-03
-4.0400E+00,+214.8E-03,-648.8E-03
-4.0300E+00,+114.3E-03,-610.6E-03
-4.0200E+00,-26.4E-03,-194.6E-03
-4.0100E+00,+234.9E-03,+38.6E-03
-4.0000E+00,+456.0E-03,+275.8E-03
-3.9900E+00,+335.4E-03,+26.5E-03
-3.9800E+00,+295.2E-03,-142.3E-03
-3.9700E+00,-26.4E-03,+189.4E-03
-3.9600E+00,+214.8E-03,+332.1E-03
-3.9500E+00,+275.1E-03,-7.6E-03
-3.9400E+00,-26.4E-03,+38.6E-03
-3.9300E+00,-106.8E-03,+50.7E-03
-3.9200E+00,-267.6E-03,+340.1E-03
-3.9100E+00,-207.3E-03,+10.5E-03
-3.9000E+00,-348.0E-03,-166.4E-03
-3.8900E+00,-167.1E-03,-29.7E-03
-3.8800E+00,-348.0E-03,-664.9E-03
-3.8700E+00,-207.3E-03,-471.9E-03
-3.8600E+00,-428.4E-03,-544.3E-03
-3.8500E+00,-267.6E-03,-238.8E-03
-3.8400E+00,-428.4E-03,-463.9E-03
-3.8300E+00,+174.6E-03,-397.6E-03
-3.8200E+00,-106.8E-03,-403.6E-03
-3.8100E+00,-126.9E-03,-465.9E-03
